type,o/n?,source,version,photocard front id,photocard back id,member,release date,year,country,orientation,own vs source
album,yes,"O!RUL8,2?",,orul82_new_member1,orul82_new_back_member1,RM,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_member2,orul82_new_back_member2,Jin,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_member3,orul82_new_back_member3,Suga,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_member4,orul82_new_back_member4,j-hope,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_member5,orul82_new_back_member5,Jimin,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_member6,orul82_new_back_member6,V,,2013,South Korea,portrait,o
album,yes,"O!RUL8,2?",,orul82_new_member7,orul82_new_back_member7,Jung Kook,,2013,South Korea,portrait,
album,yes,"O!RUL8,2?",,orul82_new_group,orul82_new_back_group,Group,,2013,South Korea,landscape,o
album,yes,Skool Luv Affair,,sla_new_group1,,Group,,2013,South Korea,landscape,o
album,yes,Skool Luv Affair,,sla_new_group2,,Group,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_member1,,RM,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_member2,,Jin,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_member3,,Suga,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_member4,,j-hope,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_member5,,Jimin,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_member6,,V,,2013,South Korea,portrait,o
album,yes,Skool Luv Affair,,sla_new_member7,,Jung Kook,,2013,South Korea,portrait,
album,yes,Skool Luv Affair,,sla_new_group1_member1,,RM and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member1,,RM and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member2,,Jin and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member2,,Jin and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member3,,Suga and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member3,,Suga and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member4,,j-hope and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member4,,j-hope and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member5,,Jimin and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member5,,Jimin and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member6,,V and Group 1,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group2_member6,,V and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair,,sla_new_group1_member7,,Jung Kook and Group 1,,2013,South Korea,landscape,o
album,yes,Skool Luv Affair,,sla_new_group2_member7,,Jung Kook and Group 2,,2013,South Korea,landscape,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member1,,RM,,2014,South Korea,,o
album,yes,Skool Luv Affair: Special Addition,,slase_new_member2,,Jin,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member3,,Suga,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member4,,j-hope,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member5,,Jimin,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member6,,V,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_member7,,Jung Kook,,2014,South Korea,,
album,yes,Skool Luv Affair: Special Addition,,slase_new_group,,Group,,2014,South Korea,,
album,yes,Dark&Wild,,dw_new_member1,,RM,,2014,South Korea,,
album,yes,Dark&Wild,,dw_new_member2,,Jin,,2014,South Korea,,
album,yes,Dark&Wild,,dw_new_member3,,Suga,,2014,South Korea,,o
album,yes,Dark&Wild,,dw_new_member4,,j-hope,,2014,South Korea,,o
album,yes,Dark&Wild,,dw_new_member5,,Jimin,,2014,South Korea,,
album,yes,Dark&Wild,,dw_new_member6,,V,,2014,South Korea,,o
album,yes,Dark&Wild,,dw_new_member7,,Jung Kook,,2014,South Korea,,
album,yes,Dark&Wild,,dw_new_group1,,Group 1,,2014,South Korea,,o
album,yes,Dark&Wild,,dw_new_group2,,Group 2,,2014,South Korea,,o
album,yes,Dark&Wild,,dw_new_group3,,Group 3,,2014,South Korea,,o
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member1_v1,,RM,,2015,South Korea,square,o
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member2_v1,,Jin,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member3_v1,,Suga,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member4_v1,,j-hope,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member5_v1,,Jimin,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member6_v1,,V,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_member7_v1,,Jung Kook,,2015,South Korea,square,
album,yes,The Most Beautiful Moment In Life Part 1,"White,Pink",hyyh1_new_group_v1,,Group,,2015,South Korea,landscape,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member1_v1,,RM,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member2_v1,,Jin,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member3_v1,,Suga,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member4_v1,,j-hope,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member5_v1,,Jimin,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member6_v1,,V,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_member7_v1,,Jung Kook,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life Part 2,"Blue,Peach",hyyh2_new_group_v1,,Group,,2015,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member1_v1,,RM,,2016,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member2_v1,,Jin,,2016,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member3_v1,,Suga,,2016,South Korea,portrait,o
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member4_v1,,j-hope,,2016,South Korea,portrait,o
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member5_v1,,Jimin,,2016,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member6_v1,,V,,2016,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_member7_v1,,Jung Kook,,2016,South Korea,portrait,
album,yes,The Most Beautiful Moment In Life: Young Forever,"Day,Night",hyyh3_new_group_v1,,Group,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member1_v1,,RM,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member2_v1,,Jin,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member3_v1,,Suga,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_old_member4_v1,,j-hope,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member5_v1,,Jimin,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member6_v1,,V,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_member7_v1,,Jung Kook,,2016,South Korea,portrait,
album,yes,WINGS,"W,I,N,G",wings_new_group_v1,,Group,,2016,South Korea,landscape,o
album,yes,You Never Walk Alone,"Left,Right",,,RM,,2017,South Korea,portrait,
album,yes,You Never Walk Alone,"Left,Right",,,Jin,,2017,South Korea,portrait,o
album,yes,You Never Walk Alone,"Left,Right",,,Suga,,2017,South Korea,portrait,
album,yes,You Never Walk Alone,"Left,Right",,,j-hope,,2017,South Korea,portrait,
album,yes,You Never Walk Alone,"Left,Right",,,Jimin,,2017,South Korea,portrait,o
album,yes,You Never Walk Alone,"Left,Right",,,V,,2017,South Korea,portrait,
album,yes,You Never Walk Alone,"Left,Right",,,Jung Kook,,2017,South Korea,portrait,
album,yes,You Never Walk Alone,"Left,Right",,,Group,,2017,South Korea,landscape,
album,yes,LOVE YOURSELF 承 'Her',,,,Group,,2017,South Korea,landscape,
album,yes,LOVE YOURSELF 承 'Her',L,,,RM,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',L,,,Jin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',L,,,Suga,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',L,,,j-hope,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',L,,,Jimin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',L,,,V,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',L,,,Jung Kook,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,RM,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,Jin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,Suga,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,j-hope,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,Jimin,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',O,,,V,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',O,,,Jung Kook,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',V,,,RM,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',V,,,Jin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',V,,,Suga,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',V,,,j-hope,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',V,,,Jimin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',V,,,V,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',V,,,Jung Kook,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,RM,,2017,South Korea,portrait,o
album,yes,LOVE YOURSELF 承 'Her',E,,,Jin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,Suga,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,j-hope,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,Jimin,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,V,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 承 'Her',E,,,Jung Kook,,2017,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',,,,Group,,2018,South Korea,landscape,
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,RM,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,Jin,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,Suga,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,j-hope,,2018,South Korea,portrait,o
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,Jimin,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,V,,2018,South Korea,portrait,o
album,yes,LOVE YOURSELF 轉  'Tear',Y,,,Jung Kook,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',O,,,RM,,2018,South Korea,portrait,o
album,yes,LOVE YOURSELF 轉  'Tear',O,,,Jin,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',O,,,Suga,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',O,,,j-hope,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',O,,,Jimin,,2018,South Korea,portrait,
album,yes,LOVE YOURSELF 轉  'Tear',O,,,V,,2018,South Korea,portrait,o
